N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
;;;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA_A {distancia:5.3, recorrido:7}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;;;(asambleadeiglesiascristianascentral)-[:DISTANCIA_A {distancia:1.3, recorrido:1.6}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;;;(asambleadeiglesiascristianascentral)-[:DISTANCIA_A {distancia:1.74, recorrido:3.8}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA_A {distancia:1.79, recorrido:4.5}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA_A {distancia:1.41, recorrido:2.4}]->(iglesiamdsduran),
;;;;;;;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA_A {distancia:2.48, recorrido:4.2}]->(iglesiamdsduran),
;;;;;;;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA_A {distancia:3.31, recorrido:5.7}]->(estaciondelaaeroviaduran),
;;;;;;;;;(iglesiamdsduran)-[:DISTANCIA_A {distancia:0.92, recorrido:2.1}]->(estaciondelaaeroviaduran),
;;;;;;;;;(iglesiamdsduran)-[:DISTANCIA_A {distancia:0.86, recorrido:1.1}]->(aeroviaduran),
;;;;;;;;;(estaciondelaaeroviaduran)-[:DISTANCIA_A {distancia:0.14, recorrido:0.24}]->(aeroviaduran),
;;;;;;;;;(estaciondelaaeroviaduran)-[:DISTANCIA_A {distancia:0.12, recorrido:0.16}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;;;(aeroviaduran)-[:DISTANCIA_A {distancia:1.16, recorrido:1.3}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;;;(aeroviaduran)-[:DISTANCIA_A {distancia:3.74, recorrido:5.7}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA_A {distancia:3.42, recorrido:4.8}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA_A {distancia:3.47, recorrido:5}]->(cooperativadetransportesecuador),
;;;;;;;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA_A {distancia:0.11, recorrido:0.27}]->(cooperativadetransportesecuador),
;;;;;;;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA_A {distancia:0.14, recorrido:0.3}]->(cooperativasmariscalsucretranssan),
;;;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA_A {distancia:0.03, recorrido:0.3}]->(cooperativasmariscalsucretranssan),
;;;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA_A {distancia:1.66, recorrido:3.4}]->(cooperativadetransporterircay),
;;;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA_A {distancia:0.14, recorrido:0.29}]->(cooperativadetransporterircay),
;;;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA_A {distancia:0.36, recorrido:1}]->(medigroup),
;;;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA_A {distancia:0.36, recorrido:0.95}]->(medigroup),
;;;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA_A {distancia:1.97, recorrido:4.2}]->(centrodesaludtipocelrecreo),
;;;;;;;;;(medigroup)-[:DISTANCIA_A {distancia:2.31, recorrido:5.8}]->(centrodesaludtipocelrecreo),
;;;;;;;;;(medigroup)-[:DISTANCIA_A {distancia:2.6, recorrido:4}]->(clinicamoreno),
;;;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA_A {distancia:0.29, recorrido:0.4}]->(clinicamoreno),
;;;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA_A {distancia:2.85, recorrido:4.9}]->(hospitalgeneralde120camasduran),
;;;;;;;;;(clinicamoreno)-[:DISTANCIA_A {distancia:3.09, recorrido:4.9}]->(hospitalgeneralde120camasduran),
;;;;;;;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA_A {distancia:348, recorrido:7}]->(iglesiaevangelicalaresurreccion),
;;;;;;;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA_A {distancia:18, recorrido:24}]->(iglesiaevangelicalaresurreccion),
;;;;;;;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA_A {distancia:188, recorrido:38}]->(iglesiaevangelicaatriosdealabanzas),
;;;;;;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA_A {distancia:1, recorrido:12}]->(iglesiaevangelicaatriosdealabanzas),
;;;;;;;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA_A {distancia:233, recorrido:3}]->(iglesiacatolicainmaculadaconcepcion),
;;;;;;;;;(iglesiaevangelicaatriosdealabanzas)-[:DISTANCIA_A {distancia:217, recorrido:33}]->(iglesiacatolicainmaculadaconcepcion),
;;;;;;;;;(iglesiaevangelicaatriosdealabanzas)-[:DISTANCIA_A {distancia:182, recorrido:33}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA_A {distancia:44, recorrido:55}]->(iglesiaevangelicaapostolicadelnombredejesus),
