N;Nombre;Lugar;Tipo;Latitud;Longitud;;
;;;;;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA { distancia:2, recorrido: 5.9}]->(iglesiaduran),
;;;;;;;(iglesiamdsduran)-[:DISTANCIA { distancia:0.92, recorrido: 1.3}]->(estaciondelaaeroviadurán),
;;;;;;;(iglesiamdsduran)-[:DISTANCIA { distancia:0.86, recorrido: 1.1}]->(aeroviaduran),
;;;;;;;(estaciondelaaeroviadurán)-[:DISTANCIA { distancia:0.14, recorrido: 1.8}]->(aeroviaduran),
;;;;;;;(estaciondelaaeroviadurán)-[:DISTANCIA { distancia:1.2, recorrido: 1.3}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA { distancia:3.42, recorrido: 5.3}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;(coopdetransportepresidenteeloyalfaro)-[:DISTANCIA { distancia:3.47, recorrido: 5}]->(cooperativadetransportesecuador),
;;;;;;;(terminalterrestrededuranluisrodastoral)-[:DISTANCIA { distancia:0.14, recorrido: 0.29}]->(cooperativasmariscalsucretranssan),
;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA { distancia:0.17, recorrido: 0.45}]->(cooperativadetransporterircay),
;;;;;;;(cooperativadetransportesecuador)-[:DISTANCIA { distancia:0.03, recorrido: 0.45}]->(cooperativasmariscalsucretranssan),
;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA { distancia:0.14, recorrido: 0.19}]->(cooperativadetransporterircay),
;;;;;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA { distancia:0.36, recorrido: 1}]->(medigroup),
;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA { distancia:0.36, recorrido: 0.95}]->(medigroup),
;;;;;;;(cooperativadetransporterircay)-[:DISTANCIA { distancia:1.97, recorrido: 4.2}]->(centrodesaludtipocelrecreo),
