;;Origigen;;;Destino;;;;;
Cooperativa De Transportes Ecuador;cooperativadetransportesecuador;42;0.17;0.45;44;COOPERATIVA DE TRANSPORTE RIRCAY;cooperativadetransporterircay;;;(cooperativadetransportesecuador)-[:DISTANCIA { distancia:0.17, recorrido: 0.45}]->(cooperativadetransporterircay),
Cooperativa De Transportes Ecuador;cooperativadetransportesecuador;42;0.03;0.45;43;Cooperativas Mariscal Sucre Trans S.A.N.;cooperativasmariscalsucretranssan;;;(cooperativadetransportesecuador)-[:DISTANCIA { distancia:0.03, recorrido: 0.45}]->(cooperativasmariscalsucretranssan),
Cooperativas Mariscal Sucre Trans S.A.N.;cooperativasmariscalsucretranssan;43;0.14;0.19;44;COOPERATIVA DE TRANSPORTE RIRCAY;cooperativadetransporterircay;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA { distancia:0.14, recorrido: 0.19}]->(cooperativadetransporterircay),
Cooperativas Mariscal Sucre Trans S.A.N.;cooperativasmariscalsucretranssan;43;0.36;1;45;Medigroup;medigroup;;;(cooperativasmariscalsucretranssan)-[:DISTANCIA { distancia:0.36, recorrido: 1}]->(medigroup),
COOPERATIVA DE TRANSPORTE RIRCAY;cooperativadetransporterircay;44;0.36;0.95;45;Medigroup;medigroup;;;(cooperativadetransporterircay)-[:DISTANCIA { distancia:0.36, recorrido: 0.95}]->(medigroup),
COOPERATIVA DE TRANSPORTE RIRCAY;cooperativadetransporterircay;44;1.97;4.2;46;Centro de Salud Tipo C El Recreo;centrodesaludtipocelrecreo;;;(cooperativadetransporterircay)-[:DISTANCIA { distancia:1.97, recorrido: 4.2}]->(centrodesaludtipocelrecreo),
Medigroup;medigroup;45;1.97;6.6;46;Centro de Salud Tipo C El Recreo;centrodesaludtipocelrecreo;;;(medigroup)-[:DISTANCIA { distancia:1.97, recorrido: 6.6}]->(centrodesaludtipocelrecreo),
Medigroup;medigroup;45;2.6;5.8;47;Clinica Moreno;clinicamoreno;;;(medigroup)-[:DISTANCIA { distancia:2.6, recorrido: 5.8}]->(clinicamoreno),
Centro de Salud Tipo C El Recreo;centrodesaludtipocelrecreo;46;0.29;0.4;47;Clinica Moreno;clinicamoreno;;;(centrodesaludtipocelrecreo)-[:DISTANCIA { distancia:0.29, recorrido: 0.4}]->(clinicamoreno),
Centro de Salud Tipo C El Recreo;centrodesaludtipocelrecreo;46;2.85;6.1;48;Hospital General De 120 Camas - Durán;hospitalgeneralde120camasduran;;;(centrodesaludtipocelrecreo)-[:DISTANCIA { distancia:2.85, recorrido: 6.1}]->(hospitalgeneralde120camasduran),
Clinica Moreno;clinicamoreno;47;3.09;6.2;48;Hospital General De 120 Camas - Durán;hospitalgeneralde120camasduran;;;(clinicamoreno)-[:DISTANCIA { distancia:3.09, recorrido: 6.2}]->(hospitalgeneralde120camasduran),
Clinica Moreno;clinicamoreno;47;3.6;4.3;49;Artes Graficas Senefelder;artesgraficassenefelder;;;(clinicamoreno)-[:DISTANCIA { distancia:3.6, recorrido: 4.3}]->(artesgraficassenefelder),
Hospital General De 120 Camas - Durán;hospitalgeneralde120camasduran;48;5;6.7;50;Pisicina Roquetas De Mar;pisicinaroquetasdemar;;;(hospitalgeneralde120camasduran)-[:DISTANCIA { distancia:5, recorrido: 6.7}]->(pisicinaroquetasdemar),
Artes Graficas Senefelder;artesgraficassenefelder;49;5;6.1;50;Pisicina Roquetas De Mar;pisicinaroquetasdemar;;;(artesgraficassenefelder)-[:DISTANCIA { distancia:5, recorrido: 6.1}]->(pisicinaroquetasdemar),
;;;;;;;;;;
